name,description,date,views,comments
Как повысить эффективность пуш-уведомлений,"Как сделать, чтобы пользователи iOS- или Android-приложения читали ваши уведомления и откликались.",03 сентября 2018,9567,7
Как выжать максимум пользы из участия в хакатоне,"Хакатон — мероприятие, где айтишники решают насущную задачу",31 августа 2018,5893,1
Программирование по любви или ради денег,"Исследование, которое заставит вас задуматься.",30 августа 2018,8135,1
14 выступлений TED Talks для дизайнеров,"Вдохновляющие и обучающие видео, которые помогут стать лучше.",30 августа 2018,7777,1
"ИИ VS человечество: рекорды, проблемы, развитие","В 2018 году нейросети начали превосходить людей в отраслях, лидерство в которых традиционно принадлежало человеку.",29 августа 2018,17214,3
"Окей, Гугл! Как устроиться в Google?",Как начинающему программисту стать сотрудником крупной зарубежной IT-компании? ,28 августа 2018,76973,7
"13 признаков, что вы можете стать крутым дизайнером","Статья для тех, кто хочет стать дизайнером, но сомневается в своих задатках.",22 августа 2018,17474,8
Как писать текст для интерфейса: 6 советов для разработчиков,"Рассказываем, какой интерфейс помогает пользователям, а не пугает их.",17 августа 2018,9871,1
Как писать код при коллективной разработке,"Семь принципов, сводящихся к «не навреди».",16 августа 2018,6743,2
Новый факультет GeekUniversity: искусственный интеллект!,"Mail.ru Group, МегаФон и GeekUniversity покажут вам, что такое Data Science.",16 августа 2018,18365,36
15 правил деловой электронной переписки,Современный этикет.,15 августа 2018,158429,7
Обратная разработка и перевод старых игр,"Что такое реверс-инжиниринг и как ему научиться, занимаясь локализацией забытых игровых шедевров.",14 августа 2018,16807,2
"Мир заставляет меняться. Кто не готов, остается за бортом","Вчера я работал на заводе Минудобрений под Воронежем, сегодня переезжаю работать в Москву.",10 августа 2018,13355,0
"Российские IT-стартапы, за которыми стоит следить в 2018","Печать дома 3D-принтером, робот-рекрутер и другие идеи, которые выстрелили.",09 августа 2018,47965,5
5 бесплатных open source движков для игр на JavaScript,"Выбираем простые в изучении, Facebook-совместимые и свободные движки для создания игр на JS и HTML5. ",07 августа 2018,54330,5
История языков программирования: 2010-е,Заключительная часть серии.,01 августа 2018,8325,8
5 причин посетить научпоп-фестиваль Geek Picnic,Что ждет гостей на Geek Picnic в этом году?,31 июля 2018,7915,11
"Сэр Клайв Синклер: изобретатель, гений, рыцарь","Сегодня расскажем о человеке, который подарил миру маленький, но невероятно популярный компьютер.",30 июля 2018,10700,13
"Как не «посадить» глаза, сутками сидя за компьютером",Советы офтальмолога.,27 июля 2018,126186,27
Pac-Man: я дошел до 130 тысяч скачиваний и меня забанили,"История о том, что учебный проект может стать популярной игрой.",25 июля 2018,25326,0
"5 языков программирования, которые надо учить первыми",Основа востребованности современного программиста.,24 июля 2018,508308,33
Как читать правильно: полное руководство,"О методах скорочтения, проблемах освоения материала и новом способе читать книги.",23 июля 2018,18610,1
"Как найти работу Android-разработчика, если у вас нет опыта?",История Виктора Лоскутова.,20 июля 2018,201,0
Стоит подписаться: 21 аккаунт программистов в Twitter,Еще один путь получения важной и полезной информации.,18 июля 2018,15734,4
Главные IT-события второй половины лета 2018,Как провести оставшуюся половину лета с пользой для карьеры.,17 июля 2018,12518,2
"23 сайта для программиста, чтобы найти работу с переездом","Подтянули английский, выбрали профессию, обзавелись портфолио, а теперь хотите крутую работу за рубежом с высокой зарплатой?",10 июля 2018,131841,8
Как живет сообщество GeekUniversity?,Интервью с комьюнити-менеджером Дарьей Грач.,07 июля 2018,5680,8
10 свежих книг по Python для новичков,"Для тех, кто предпочитает свежий взгляд.",03 июля 2018,28339,16
GeekBrains в «Городе»: бонусы для студентов,Получите до 1% в виде бонусов от потраченной на обучение суммы с помощью карты «Тройка».,02 июля 2018,41936,32
Карьера в IT: от админа до JS-разработчика,История Анатолия Метелицы.,30 июня 2018,51,0
Лучшие IDE для разработки на C#,Один очевидный вариант и несколько других.,28 июня 2018,286971,10
Как не срывать дедлайны?,"Ориентируемся на сказки, законы и народную мудрость.",28 июня 2018,24270,10
На волне ЧМ-2018,Могут ли информационные технологии влиять на исходы матчей?,26 июня 2018,6619,1
Собеседование на английском: как подготовиться,"Нашли вакансию мечты, но собеседование на английском?",25 июня 2018,12468,3
Давайте знакомиться: как живут и кем работают студенты GU,Самые разные истории обо всем.,21 июня 2018,9413,0
11 лучших дистрибутивов Linux для программиста,"Пригодится тем, кто устал от популярных систем.",20 июня 2018,179616,30
