name,description,date,views,comments
Как в 13 лет заработать на 3D-моделировании,"Семиклассник Михаил Кузнецов рассказывает, как заработал первые деньги после обучения в GeekSchool ",22 декабря 2023,52935,-1
"Как совмещать работу, семью и обучение ИТ","Наша студентка Анна Кашицина рассказывает, как успевать все на свете",06 декабря 2023,53839,6
"Закончить GeekSchool, чтобы помогать маме с бизнесом","Наша ученица Ксения Светлова рассказывает, что она узнала на курсе ""Графический дизайн""",24 ноября 2023,54364,5
"Маркетолог Gucci, курьер, аналитик ― карьера нашего студента",Наш бывший ученик Алексей Рудаков рассказывает историю своего профессионального роста,24 ноября 2023,52905,3
Как выступления помогают профессиональному развитию,"Преподаватель GeekBrains рассказывает, как впервые вышел на сцену форума ИТ-технологий ФИЧА",17 ноября 2023,55678,1
Как нейросети помогут в работе руководителю проектов,"Как мы сократили время на создание пользовательских инструкций в 2-3 раза

",01 ноября 2023,57388,3
Как создать и продать свой NFT,Простая и понятная инструкция,10 октября 2023,70708,3
Как из маркетинга уйти в продакт-менеджеры,"Выпускница GeekBrains Екатерина Тиханкина рассказывает, как не упереться в потолок в своей должности",03 октября 2023,657,0
Почему в каждой ИТ-вакансии требуется Docker ,"Docker ― это программа для разработки, доставки и запуска приложений, является представителем частного вида виртуализации ― контейнеризации.",02 октября 2023,61301,0
Как бросить нанотехнологии ради программирования роботов,"Выпускник GeekBrains Артем Стаценко рассказывает, будет ли восстание машин ",26 сентября 2023,659,0
Как наш ученик полгода писал игру про космос,"Смотрите, что у него получилось! ",21 сентября 2023,59618,2
Наш ученик написал мультфильм про восстание арбузов,"14-летний студент GeekSchool Григорий Бовин и его мама Анастасия рассказывают, что в кино не обойтись без ИТ",19 сентября 2023,59415,0
Зачем бросать руководящую должность и снова писать код,"Друзья бывшего студента GeekBrains Андрея Абаньшина не верят, что он начал зарабатывать в 2 раза больше",19 сентября 2023,714,0
Самоорганизация в команде ― миф или реальность,"Как это так ― команда сама решает, что ей делать",18 сентября 2023,59645,0
Из стажеров в руководители: опыт студента GeekBrains ,"Валентин Дюкре из компании Agima рассказывает, как прошел путь от стажера до руководителя проектного офиса",13 сентября 2023,59881,0
Как из полицейского стать универсальным ИТ-солдатом,"Выпускница GeekBrains Ольга Андреева рассказывает, как из лейтенанта полиции переквалифицировалась в SMM",12 сентября 2023,63594,0
Как управлять айтишниками?,Зачем придумали гибкие методологии,11 сентября 2023,58516,0
Зачем нужен менеджер в онлайн-образовании ,Он играет ключевую роль в организации и координации образовательных процессов,05 сентября 2023,60408,0
Как за 2 года стать сеньором и в 4 раза увеличить зарплату,"Выпускница GeekBrains Яна Есакова рассказывает, как дизайнер может улучшить опыт миллионов покупателей маркетплейса",05 сентября 2023,759,0
Как пересесть с коня на Backend,Студентка GeekBrains Ксения Локтева рассказывает о пути из конного спорта в разработчики,29 августа 2023,537,0
Как начать продавать на маркетплейсах,И какой нужен бюджет ,28 августа 2023,62423,0
"Как стать тестировщиком, лежа на больничной койке","Выпускник GeekBrains Алексей Дубовский рассказывает, как после аварии нашел в себе силы переучиться на тестировщика",23 августа 2023,530,0
Как выработать привычку не тратить все заработанные деньги,И начать откладывать,21 августа 2023,69887,1
Как устроены компьютерные вирусы,Рассказывает эксперт по компьютерной безопасности,16 августа 2023,75848,0
Как получить предложение работать в Apple,"Разработчик Андрей Володин рассказывает, как выиграть конкурс программистов WWDC Scholarship",15 августа 2023,77535,1
Как стать миллионером в 14 лет и потерять все в 20,"История Ильи Попова, соавтора «Смешариков», в новом формате GeekSpeak, эксклюзивно для VK",04 августа 2023,78745,1
Куда инвестору деть первый миллион прибыли,"Венчурный аналитик рассказывает, как приумножить заработанное на стартапах ",31 июля 2023,80145,1
Как от дизайна листовок перейти к проектам для космоса,"Выпускник GeekBrains Евгений Буймов рассказывает, как из управляющего пивной стал fullstack-дизайнером",04 июля 2023,570,0
Как 12-летняя выиграла у студентов олимпиаду по разработке,"Анастасия Коленько и ее мама Светлана рассказывают, как после обучения в GeekSchool начать делать игры и побеждать опытных соперников",06 июня 2023,386,0
Как из парковщика стать программистом для АЭС,"Рассказывает Николай Нагорный, бывший студент, а теперь преподаватель GeekBrains",05 июня 2023,385,0
Как за 10 минут обновить программу у миллионов пользователей,DevOps британского финтех-стартапа рассказывает о своей профессии и зачем он нужен ИТ-компаниям ,10 апреля 2023,36779,1
"Как сделать стартап, который купит Яндекс","Максим Суркиз рассказывает, как забота о клиентах помогает победить в конкуренции ",07 апреля 2023,28065,0
Как Apple своровала у Google и ничего ей за это не было ,"Руководитель направления Mobile в ВТБ рассказывает про то, как великие художники воруют идеи",06 апреля 2023,34329,0
«Первую работу я нашла уже на втором месяце обучения в GB» ,"Рассказывает Катерина Лычак, 38 лет.  Факультет интернет-маркетинга.",31 марта 2023,398,0
Итоги весеннего конкурса лучших проектов ,"GeekBrains подводит итоги конкурса на лучшие ИТ-проекты, стартовавшего 1 марта",31 марта 2023,33263,0
Как математика предсказывает торнадо,"Доктор математических наук рассказывает, как придумал алгоритм предсказаний природных катаклизмов   
",24 марта 2023,31734,2
Как мастеру по ресницам стать дизайнером,"Руководитель дизайн-бюро рассказывает, кто может получить профессию дизайнера",23 марта 2023,32125,1
Как астрономия связана с программированием,"Астрофизик Анастасия Топчиева рассказывает, на каком языке программируют космические исследователи
",22 марта 2023,28372,0
Конкурс ИТ-проектов от GeekBrains,"Выиграйте стажировки, карьерные консультации и скидки от наших партнеров ",09 марта 2023,29234,0
Как устроен современный мир дизайна,"Эксперт рассказывает о том, как попасть в эту сферу и развиваться в ней",29 декабря 2022,27143,2
Тенденции развития метавселенных ,Как создается децентрализованное государство,26 декабря 2022,26482,0
Как обработать миллион заказов в день,Рассказывает технический директор «Детского мира» ,22 декабря 2022,30427,0
Как компьютеры учатся понимать человеческий язык,Они превращают слова в векторы и делают поправку на контекст,21 декабря 2022,25065,0
Зачем выкатывать обновления каждый день,"Эксперт рассказывает, какие тренды сейчас актуальны в разработке продуктов",20 декабря 2022,27237,0
Игра как тренажер предпринимательского мышления,"Основатель «Мосигры» Дмитрий Кибкало рассказал, почему нужно играть в игры на самом высоком уровне сложности ",15 декабря 2022,21716,1
Что такое квантовые компьютеры,Рассказывает ученый,15 декабря 2022,24672,2
Зачем нужен мета-риэлтор и мета-секьюрити ,"Создатель сервиса услуг в метавселенных рассказывает, как будет развиваться новый децентрализованный интернет",12 декабря 2022,15005,0
Как санкции помогли создать свою систему распознавания лиц,Российская компания за год написала свою систему биометрии,09 декабря 2022,26450,3
Как компьютер помог предотвратить ядерную войну,"Советские ученые рассчитали, что бомбить США будет невыгодно ",08 декабря 2022,25262,0
Более 5000 человек получат цифровую профессию в GeekBrains,По некоторым профессиям конкурс составил 18 человек на место,25 ноября 2022,16493,0
Как предсказать убеждения людей по подпискам в соцсетях,"Ученый рассказывает, как алгоритмы могут узнать ваше мнение по любому вопросу",21 ноября 2022,20160,0
Как создать конкурента картам Google,"Создатель сервиса 2GIS рассказывает, как масштабировал бизнес из Новосибирска по всему миру ",15 ноября 2022,22856,0
Как StarCraft стал основой для математического открытия,"Ученый опубликовал статью в научном журнале, чтобы доказать друзьям, как правильно играть",07 ноября 2022,14473,0
От шутера в стиле 80-х до ПО для нефтегазовых месторождений,Подводим итоги конкурса лучших проектов ,01 ноября 2022,17345,2
Исследование: люди стали чаще учить ИТ и английский, Как изменились потребности в дополнительном образовании за год,24 октября 2022,11047,0
Мы ждем вашу работу на конкурс лучших ИТ-проектов!,"Выигрывайте стажировку, карьерную консультацию и скидки на товары и услуги",10 октября 2022,6341,0
Куда мигрируют айтишники,"Бизнесмен Вазген Егиазарян рассказывает, какую страну выбрать для релокации",04 октября 2022,10636,10
Как получить предложение работать в Apple,"Разработчик Андрей Володин рассказывает, как выиграть конкурс программистов WWDC Scholarship ",30 сентября 2022,6820,0
Почему обучение должно быть жестким,"Сергей Градировский рассказывает, почему учитель не должен жалеть учеников",21 сентября 2022,2804,0
Природные способности или упорство?,"Профессор Фарит Авхадиев рассказывает, как умение учиться зависит от генов",20 сентября 2022,2319,0
"Сайт-билдер ― айтишник, который не пишет код","Основатель компании Attico рассказывает, почему в ИТ-сфере можно не уметь писать код",15 сентября 2022,16170,2
Что такое метанавыки и как их развивать?,+ упражнение ,14 сентября 2022,15478,1
Блоки CSS: принципы верстки современных сайтов,Благодаря внедрению стандартов CSS время верстки сайта сократилось в несколько раз,13 сентября 2022,10180,0
Когда в Узбекистане будет 1 млн айтишников,"Бизнесмен Акмаль Пайзиев рассказывает, как в стране развивается ИТ-сфера",12 сентября 2022,15982,0
Какие технологии изменят мир в следующие 10 лет,"Гендиректор Delivery Club Донмез Гюванч рассказывает, каким он видит мир будущего",09 сентября 2022,16380,0
Что такое бэклог,Для чего нужен и как вести ,07 сентября 2022,8828,0
Как научить ИИ ставить диагнозы пациентам,"Эксперт по внедрению информационных систем Дмитрий Мугенов рассказывает, как его команда сделала то, что еще не удавалось никому в мире
",07 сентября 2022,13410,2
Концепции маркетинга,Классические и современные,06 сентября 2022,14820,0
Развитие логического мышления,Преимущества и лучшие упражнения,06 сентября 2022,13705,0
Когда роботы заменят таксистов,"Директор по цифровой трансформации компании Hyundai Алексей Гурин прогнозирует, как автомобильная отрасль изменится в ближайшие 10 лет",29 августа 2022,14691,0
Как скрестить Agile и госуправление,"Руководитель продукта ЕМИАС.инфо Антон Горбань рассказывает, как создать что-то новое на стыке разных подходов к управлению",24 августа 2022,15157,0
Как защищать данные бионических чипов,"Эксперт в кибербезопасности рассказывает, как устроена защита данных сейчас, и как изменится отрасль через 10 лет ",23 августа 2022,13846,0
Как управлять людьми при помощи математики и теории игр,"Ученый Николай Коргин рассказывает, возможно ли управлять людьми, как объектами",22 августа 2022,14256,1
Как привлечь инвестиции в стартап и самому стать инвестором,"Гендиректор OTM Виталий Герко о том, как привлек инвестиции в первый стартап и в какие проекты стоит инвестировать",19 августа 2022,13915,0
"Как студент придумал приложение, взорвавшее App Store  ",Алексей Денисенко рассказывает мотивирующую историю,18 августа 2022,29943,5
Как построить целесообразный мир с помощью блокчейна,"Почему биткойн ― это золото, а эфир — это и двигатель, и бензин одновременно",17 августа 2022,16257,1
Почему выпускники школ идут учиться в GeekBrains вместо вуза,"Мы выяснили, сколько выпускников школ поступили в GeekBrains в прошлом году, где они живут, и какие у них цели обучения",17 августа 2022,13079,0
Как преодолеть проклятье одного проекта,"Создатель «Смешариков» Илья Попов рассказывает, как не попасть в ловушку при глобальном масштабировании своего бизнеса",16 августа 2022,13123,1
GeekBrains бесплатно обучит 50 тысяч безработных и инвалидов,Другие льготные категории граждан смогут возместить 50% и 75% от стоимости обучения,16 августа 2022,15411,8
Иван Ургант на пути в ИТ,"Телеведущий и два ИТ-предпринимателя рассказывают, как новичкам попасть в ИТ",15 августа 2022,15863,10
История Мегаплана: как понять что стартап взлетит? ,"Гендиректор GetCourse Сергей Михайлов рассказывает, какие признаки должны быть у стартапа, чтобы он взлетел


",15 августа 2022,16917,0
5 причин начать изучать математику прямо сейчас  ,"Популяризатор математики Алексей Савватеев рассказывает, как эта наука помогает выигрывать по жизни и доказывать свою правоту",15 августа 2022,17408,1
Как отучить ребенка играть в компьютерные игры,"И начать создавать их
",08 августа 2022,19206,0
От зомби-шутера до сервиса для здоровья: итоги конкурса,Посмотрите на наших победителей!,21 июля 2022,36282,8
Организация работы в команде,Шаги и ошибки,01 июля 2022,28943,0
Развитие креативности,Инструменты для творческих профессий,30 июня 2022,14924,4
Принципы тайм-менеджмента,Как подчинить себе время,29 июня 2022,16211,6
Стоит ли применять метод Agile,"Кому подходит, а кому нет",28 июня 2022,9330,2
Что такое рефакторинг кода,И когда он нужен,27 июня 2022,9355,2
Облачные технологии,"Структура, виды, сферы применения",24 июня 2022,77199,2
Льготы для IT в 2022 году,Какие существуют и как их получить,23 июня 2022,15756,3
Аналитический склад ума,Что это такое и как натренировать,22 июня 2022,57189,4
Зарплаты в IT,Кто больше всех зарабатывает,21 июня 2022,31347,4
Известные программисты и разработчики,Круче рок-звезд и киноактеров,20 июня 2022,26251,2
"Советы для тех, кто осваивает Git","Про папки, репозитории и некоторые сложности при освоении контроля версий",20 июня 2022,61607,120
"Что такое Web 3.0, за что его любят и критикуют","Этот интернет сломался, несите следующий: почему все ждут интернет будущего ",17 июня 2022,14430,0
Метанавыки: компетенции для успешного будущего,"О ключевых составляющих успеха и компетенциях, позволяющих расти и создавать инновации
",17 июня 2022,14849,0
Как создать NFT,Правила и пошаговая инструкция,16 июня 2022,94946,7
Создание сайта на Битрикс: плюсы и минусы,В статье рассказывается о преимуществах и недостатках создания сайта на Битриксе. Кому подойдет создание сайта на Битрикс?,16 июня 2022,13598,0
Создание сайта на WordPress: основные этапы и настройки,В статье рассказывается про создание сайта на WordPress,16 июня 2022,15184,1
Конкурс: присылайте свои IT-проекты и выигрывайте призы,Принять участие могут все желающие,15 июня 2022,8804,0
Что такое нейронные сети и зачем они нужны,Рассказываем на простых примерах,15 июня 2022,10519,3
Просто и понятно о блокчейн-технологиях,Как новая технология баз данных используется в разных отраслях,15 июня 2022,13670,5
"Анализ данных в Еxcel: активация функций, возможности ПО","В статье рассказывается о сути и методах анализа данных, а также активации и запуске данной функции в Еxcel и применяемых техниках анализа",15 июня 2022,12447,0
"Специалист по рекламе: обязанности, качестве и обучение",В статье рассказывается про обязанности и качество обучения специалиста по рекламе,15 июня 2022,50356,0
Метавселенные: хайп или наше будущее?,Что это такое и как первыми заработать в метавселенной,14 июня 2022,11346,0
Как правильно заключить договор с клиентом,"В статье рассказывается о том, какие задачи решает договор с клиентом и для чего он нужен, что обязательно нужно в него включить",14 июня 2022,12370,0
Фильмы для дизайнеров: 24 картины,В статье рассказывается о 24 документальных и художественных фильмах для дизайнеров,14 июня 2022,7079,0
Технологии виртуальной реальности,Перспективы и риски,13 июня 2022,47400,0
Игры на движке Unreal Engine: причины популярности,"В статье рассказывается о том, что из себя представляют игры на движке Unreal Engine",10 июня 2022,6550,0
Российские сервисы email-рассылок без потери качества,"В статье представлены критерии выбора сервиса рассылок, топ лучших российских сервисов рассылок",10 июня 2022,4779,0
Зарплата дизайнера в 2022 году,"В статье рассказывается о том, какой может быть зарплата дизайнера, какие факторы влияют на ее размер",09 июня 2022,34468,0
"4 вредных совета для тех, кто изучает новую профессию","Внимание, повторять опасно для профессионального развития!
",09 июня 2022,12157,15
Всемирная паутина WWW: что это и как устроено,"В статье рассказывается о том, что из себя представляет Всемирная паутина WWW",09 июня 2022,47614,0
Российские аналоги приложений для продуктивной работы,"В статье рассказывается о том, какие существуют российские аналоги зарубежных приложений",08 июня 2022,3492,0
Трехмерная графика: технологии будущего на службе настоящего,В статье рассказывается про трехмерную графику как технологию будущего,08 июня 2022,11267,0
Спам-рассылки: стоит ли организовывать и что нужно,"Спам-рассылки – текст, сообщение, которые отправили адресату без его согласия. ",08 июня 2022,8034,0
Развитие интернет-образования: причины и перспективы,"В статье рассказывается об истории развития интернет-образования в России и за рубежом, его преимуществах и недостаткахи перспективах",07 июня 2022,7590,0
Строим успешную карьеру: универсальная секретная стратегия,"Эксперт в data science рассказывает, почему выкладываться на 100% нужно для себя, а не для работодателя",11 мая 2022,3639,1
StandUP «Путь в IT» с Павлом Волей,Участвуйте в онлайн-интенсиве «Путь в IT» с Павлом Волей 19 мая в 18:00 ,05 мая 2022,14968,1
"Стажировка ― это возможность понять, нужно ли вам всё это","Выпускник факультета управления проектами Антон Членов рассказал о стажировках в GeekBrains
",29 апреля 2022,297,0
«Только продажи могут подтвердить ценность продукта»,"Участник стажировки — о полученных навыках, опыте работы с командой и личных достижениях
",27 апреля 2022,207,0
Алиса Богданова стала юбилейным пользователем GeekBrains,Студентка получила в подарок программу «Разработчик»,22 апреля 2022,2909,0
Новое исследование GeekBrains,Больше половины россиян назвали улучшение жилищных условий для IT-специалистов эффективной мерой поддержки ,21 апреля 2022,4133,0
Стоит ли быть лидером в офисе?,"Вложения и дивиденды лидера команды
",19 апреля 2022,4786,0
"«Думал, не буду ждать разработчика и сделаю всё сам»","Студент курса системной аналитики Михаил Селютин ― о собственной разработке, которая привела его к новой карьере. ",13 апреля 2022,160,0
«Я очень соскучилась по обучению в GeekBrains»,"Выпускница факультета дизайна Яна Есакова ― о любви к обучению и своей работе продуктовым дизайнером в Ozon. 
",08 апреля 2022,144,0
Язык программирования Delphi: особенности и перспективы,"В статье рассказывается про особенности языка программирования Delphi, историю его создания и сферы применения",08 апреля 2022,18278,5
Язык программирования Ардуино: что собой представляет,"В статье рассказывается о том, что из себя представляет язык программирования Ардуино, и какие языки подходят для Ардуино",07 апреля 2022,18367,0
Как и зачем учиться быстро печатать,"Разбираем 11 популярных сервисов
",06 апреля 2022,18651,15
Что такое Unity Web Player,"В статье рассказывается о том, что такое Unity Web Player. Вы узнаете его описание, преимущества и возможности",06 апреля 2022,15105,0
Развитие умений и навыков:что мешает и как осуществить,"В статье рассказывается о том, как развивать умения и навыки и принципах их развития, а также о факторах, которые этому мешают.",05 апреля 2022,16787,1
Где работать из дома и не ходить в ненавистный офис,"В статье рассказывается о различных вариантах того, где работать из дома без опыта, а также творческим людям.",04 апреля 2022,59212,0
Профессиональная переподготовка,"В статье рассказывается о том, что такое профессиональная переподготовка, кому и для чего она необходима",31 марта 2022,45090,0
Профессии с хорошей зарплатой: на кого лучше учиться,"В статье рассказывается о самых высокооплачиваемых профессиях в России в разных сферах, а также узнаете список профессий с высокой зарплатой",31 марта 2022,86731,0
10 отличных программ для email-рассылки,"В статье рассказывается про программы для email-рассылки, их преимущества и способы формирования базы для email-рассылки",30 марта 2022,19182,1
«На стажировке время летит быстро»,"Студент факультета проджект-менеджмента Максим Магомедкеримов ― о кросс-функциональной стажировке, повышении и нехватке времени.",29 марта 2022,20118,0
Приложения для создания игр: конструкторы и спец. программы,"В статье рассказывается про приложения для создания игр, их возможности, выбор игрового движка, а также инструменты для создания текстуры",29 марта 2022,31046,1
Направления развития современного образования,"В статье рассказывается о направлениях развития современного образования, основных тенденциях развития",29 марта 2022,63127,0
В чем суть Майнкрафта: свобода творчества и развитие,"В статье рассказывается о том, какую пользу для вашего ребенка несет игра Майнкрафт",28 марта 2022,67761,0
«У меня простой совет — нужно быть целеустремлённым»,"Интервью с 13-летним Вовой Левитаном, окончившим трёхмесячный курс по Unity: о мотивации, сетевых играх, шахматах и не только",25 марта 2022,20082,0
Что такое типографика: 12 простых правил,"В статье рассказывается о простых правилах типографики, ее понятиях, базовых терминах и систему ориентирования в тексте",25 марта 2022,21121,0
Что такое парсер и нюансы его использования,В статье рассказывается что такое парсер и как его правильно использовать. Вы узнаете о видах парсинга и его преимуществах.,24 марта 2022,9151,0
Работа из дома: как оставаться эффективным,"В статье рассказывается об основных преимуществах и недостатках работы из дома, а также об идеальном рабочем месте дома.",23 марта 2022,2001,0
Как подростки зарабатывают деньги в интернете,"В статье рассказывается о том, как подростки зарабатывают деньги в интернете - социальных сетях и онлайн-играх.",22 марта 2022,53664,0
"Компьютерная анимация: правила, виды, требования","В статье рассказывается об основных преимуществах и недостатках работы из дома, а также об идеальном рабочем месте дома.",22 марта 2022,18596,2
Язык программирования Fortran,"В статье рассказывается о языке программирования Fortran, о истории его возникновения и структуре языка",18 марта 2022,15424,0
Как зарегистрировать домен: пошаговая инструкция,"В статье рассказывается о том, как зарегистрировать доменное имя, как выбрать доменное имя и как привязать домен к хостингу",17 марта 2022,23004,0
Усвоение информации: лучшие приемы и методы,"В статье рассказывается о методах, этапах усвоения информации, а также факторах, влияющих на усвоение информации",17 марта 2022,21775,6
Язык программирования Lisp: в чем его уникальность,"В статье рассказывается о языке программирования Lisp, и его истории создания и ключевых особенностях",16 марта 2022,9208,1
Язык Haskell: особенности и сферы применения,"В статье рассказывается про особенности языка Haskell, его описание, историю создания, а также сферы использования",15 марта 2022,8051,0
Функциональное программирование,В статье рассказывается про преимущества и недостатки функционального программирования и его принципы и применение,14 марта 2022,29685,0
Системы классификации информации: виды и признаки отбора,"В статье рассказывается о том, какие существуют виды классификации информации, а также этапы разработки системы классификации информации",11 марта 2022,16518,0
Как мотивировать сотрудников учиться,"В статье рассказывается о том, как мотивировать сотрудников учиться, о причинах отсутствия мотивации и об ошибках мотивации",10 марта 2022,6243,0
Императивное программирование,"В статье рассказывается про концепцию императивного программирования, его принципы, языки, виды и парадигмы.",10 марта 2022,12953,0
Android- или iOS-разработка: что выбрать,"Спойлер: внутри только факты, выбирать всё равно придётся вам ",05 марта 2022,11257,2
Язык программирования Basic,"В статье рассказывается про язык программирования Basic, его историю создания, характеристики, критерии и применение языка",05 марта 2022,24291,1
 Как проводить брейнштормы на удалёнке,Придумывайте идеи с командой в онлайне,03 марта 2022,7419,0
Бизнес-идеи для начинающих,"В статье рассказывается о критериях отбора действительно стоящих бизнес-идей для начинающих, а также представлены различные варианты",03 марта 2022,8333,0
Зерокодинг: как создавать IT-продукты без программирования,Кому и зачем нужна разработка без кода,28 февраля 2022,14294,3
Только цифры: кому в IT больше платят ,Хардкорная статья с серьёзной статистикой,25 февраля 2022,14524,3
"«Обучение – не короткий забег, а марафон»","Студент факультета продакт-менеджмента Николай Романов — о том, как стажировка помогает закрепить материал и учит думать в продуктовом ключе",22 февраля 2022,21107,0
Как попасть в разработку из тестирования ,И что думают об экс-тестировщиках эйчары,21 февраля 2022,6268,2
" «Не знаю, откуда взялась эта смелость»",Студентка факультета продуктовой аналитики Мария ― о пути из ретейла в IT и дерзком трудоустройстве в компанию мечты,18 февраля 2022,22885,0
4 браузерных игры с необычной механикой ," Осторожно, есть риск отвлечься от работы",16 февраля 2022,5687,0
Что нужно знать о мотивации,Краткий курс по мотивации на рабочем месте,14 февраля 2022,8794,4
«Мне нравится сам процесс стажировок»,"Студент факультета продакт-менеджмента Сергей Пашинов — о том, почему стажировки стоит проходить по несколько раз",10 февраля 2022,22721,0
 Что мешает нам строить карьеру,"Психологические барьеры, которые не дают достичь успеха",09 февраля 2022,5533,1
"Джуны, мидлы и сеньоры: в чём разница",Кто есть кто в корпоративной IT-иерархии,07 февраля 2022,19249,0
«Самое сложное — создать единую команду»,"Денис Акатов — выпускник стажировки от GeekBrains — о том, как получить все необходимые для работы навыки во время учёбы",03 февраля 2022,4653,7
Как  энтузиазм может помешать работе,Чрезмерный энтузиазм способен испортить всё: от собеседования с рекрутером до выполнения работы.,02 февраля 2022,5659,7
Бесплатное тестовое задание: за и против,"Разбираемся, в каких случаях можно договориться об оплате тестового задания ",31 января 2022,6932,0
Как стать разработчиком игр?,"Рассказываем, как превратить увлечение компьютерными играми в профессию ",28 января 2022,14734,0
 Популярные IT-термины простыми словами,"Словарь важного сленга для начинающих айтишников и для тех, кто хочет найти общий язык с разработчиками",26 января 2022,21863,0
